source,target,type,weight
Lake Chad  Catchers Limited Liability Company Worldwide,Erin Flores,Beneficial Owner,1
Lake Chad  Catchers Limited Liability Company Worldwide,Linda Lee,Beneficial Owner,1
Lake Chad  Catchers Limited Liability Company Worldwide,Sharon Coleman,Beneficial Owner,1
Lake Chad  Catchers Limited Liability Company Worldwide,John Rivera,Beneficial Owner,1
Lake Chad  Catchers Limited Liability Company Worldwide,Stephen Carpenter,Beneficial Owner,1
Lake Chad  Catchers Limited Liability Company Worldwide,Lynn Everett,Beneficial Owner,1
Lake Chad  Catchers Limited Liability Company Worldwide,Heather Smith,Company Contacts,1
Wright-Horn,Lisa Fisher,Beneficial Owner,1
Weaver LLC,Laurie Evans,Beneficial Owner,1
Peterson-Moore,Kenneth Charles,Beneficial Owner,1
"Baldwin, Holden and Nelson",Jennifer Kennedy,Company Contacts,1
Aqua Advancements Sashimi SE Express,Desiree Abbott,Beneficial Owner,1
Aqua Advancements Sashimi SE Express,Tammy Adams,Beneficial Owner,1
Aqua Advancements Sashimi SE Express,Joshua Wong,Company Contacts,1
Makumba Ltd. Liability Co,Laura Montgomery,Beneficial Owner,1
Makumba Ltd. Liability Co,David Payne,Beneficial Owner,1
Makumba Ltd. Liability Co,Robyn Roberts,Beneficial Owner,1
Makumba Ltd. Liability Co,Lisa Collins,Beneficial Owner,1
Makumba Ltd. Liability Co,Stacy Erickson,Beneficial Owner,1
Makumba Ltd. Liability Co,Ronald Chen III,Beneficial Owner,1
Makumba Ltd. Liability Co,Richard Lewis,Beneficial Owner,1
Makumba Ltd. Liability Co,Robert Winters,Beneficial Owner,1
Makumba Ltd. Liability Co,Amanda Diaz,Beneficial Owner,1
Makumba Ltd. Liability Co,Amanda Gibson,Beneficial Owner,1
Makumba Ltd. Liability Co,Martin Thomas,Beneficial Owner,1
Makumba Ltd. Liability Co,Matthew Li,Beneficial Owner,1
Makumba Ltd. Liability Co,Anita Nguyen,Company Contacts,1
Hernandez-Adams,Ruth Scott,Beneficial Owner,1
Jones-Flores,Mark Powell,Company Contacts,1
"Murphy, Cummings and Mendoza",Mark Hughes,Beneficial Owner,1
Martinez Inc,Jared Martinez,Beneficial Owner,1
"Lamb, Schaefer and Coffey",Derek Davis,Beneficial Owner,1
"Taylor, Allen and Villa",Jeremy Schmitt,Beneficial Owner,1
"Patel, Fisher and Sosa",Melinda Cobb,Beneficial Owner,1
"Moyer, Jacobs and Thomas",Scott Gutierrez,Company Contacts,1
Punjab s Marine conservation,Shelley Jones,Beneficial Owner,1
Punjab s Marine conservation,Victor Mckenzie,Beneficial Owner,1
Punjab s Marine conservation,Brian Zuniga,Beneficial Owner,1
Punjab s Marine conservation,Sharon Burns,Beneficial Owner,1
Punjab s Marine conservation,Alyssa Galvan,Beneficial Owner,1
Punjab s Marine conservation,Ann Anderson,Company Contacts,1
Assam   Limited Liability Company,Marcus Bullock,Beneficial Owner,2
Assam   Limited Liability Company,Keith Bird,Beneficial Owner,2
Assam   Limited Liability Company,Thomas Brooks,Beneficial Owner,2
Assam   Limited Liability Company,Yolanda Bernard,Beneficial Owner,2
Assam   Limited Liability Company,Jennifer Kerr,Beneficial Owner,2
Assam   Limited Liability Company,Michael Bush,Beneficial Owner,2
Assam   Limited Liability Company,Samantha Stevenson,Company Contacts,2
Ianira Starfish Sagl Import,Jordan Walsh,Company Contacts,1
"Hayden, Campbell and Mendoza",Rebecca Huang,Company Contacts,1
Torres and Sons,Matthew King,Company Contacts,1
Oceanic Explorers Plc Salt spray,Lauren Kim,Beneficial Owner,1
The Salted Pearl Inc Cargo,Lauren Kim,Beneficial Owner,1
Oceanic Explorers Plc Salt spray,Natalie Boyle,Beneficial Owner,1
The Salted Pearl Inc Cargo,Natalie Boyle,Beneficial Owner,1
Oceanic Explorers Plc Salt spray,Ricky Oconnell,Company Contacts,1
The Salted Pearl Inc Cargo,Ricky Oconnell,Company Contacts,1
Saltwater Sisters AS Marine life,Susan Miller,Beneficial Owner,1
Saltwater Sisters AS Marine life,Stephen Fields,Beneficial Owner,1
Saltwater Sisters AS Marine life,Ryan James,Company Contacts,1
The Sea Turtle Company,Tina Long,Beneficial Owner,2
The Sea Turtle Company,Jeffrey Jones,Beneficial Owner,2
The Sea Turtle Company,Monica Anderson,Beneficial Owner,2
The Sea Turtle Company,Sonya Wheeler,Beneficial Owner,2
The Sea Turtle Company,Tanya Compton,Beneficial Owner,2
The Sea Turtle Company,Gene Mccoy,Beneficial Owner,2
The Sea Turtle Company,Benjamin York,Beneficial Owner,2
The Sea Turtle Company,Michaela Short,Beneficial Owner,2
The Sea Turtle Company,Barbara Carey,Beneficial Owner,2
The Sea Turtle Company,Karina Meyer,Beneficial Owner,2
The Sea Turtle Company,Douglas Gonzales,Beneficial Owner,2
The Sea Turtle Company,Keith Camacho,Beneficial Owner,2
The Sea Turtle Company,Taylor Williams,Beneficial Owner,2
The Sea Turtle Company,Patricia Castillo,Beneficial Owner,2
The Sea Turtle Company,Kristin Harris,Beneficial Owner,2
The Sea Turtle Company,Dillon Blankenship,Beneficial Owner,2
The Sea Turtle Company,Brooke Nicholson,Beneficial Owner,2
The Sea Turtle Company,Edward Hess,Beneficial Owner,2
The Sea Turtle Company,Laura Macdonald,Beneficial Owner,2
The Sea Turtle Company,Ronald Ramirez,Beneficial Owner,2
The Sea Turtle Company,Nina Thompson,Beneficial Owner,2
The Sea Turtle Company,Melissa Garcia,Beneficial Owner,2
The Sea Turtle Company,Zachary Murphy,Beneficial Owner,2
The Sea Turtle Company,Nichole Beasley,Beneficial Owner,2
The Sea Turtle Company,Brianna Gonzalez,Beneficial Owner,2
The Sea Turtle Company,Deborah Bailey,Beneficial Owner,2
The Sea Turtle Company,Kathryn Kramer,Beneficial Owner,2
The Sea Turtle Company,Douglas Kelly,Beneficial Owner,2
The Sea Turtle Company,Ruben Johnson,Beneficial Owner,2
The Sea Turtle Company,Carrie Duarte,Beneficial Owner,2
The Sea Turtle Company,Mathew Johnson,Beneficial Owner,2
The Sea Turtle Company,Nichole Barrera,Beneficial Owner,2
The Sea Turtle Company,David Miller,Beneficial Owner,2
The Sea Turtle Company,Kim Noble,Beneficial Owner,2
The Sea Turtle Company,Caitlyn Smith,Beneficial Owner,2
The Sea Turtle Company,Tony Patterson,Beneficial Owner,2
The Sea Turtle Company,Bradley Green,Beneficial Owner,2
The Sea Turtle Company,Mrs. Heather Wilson,Beneficial Owner,2
The Sea Turtle Company,Autumn Daniel,Company Contacts,2
"Klein, Rice and Garcia",Dana Mullins,Beneficial Owner,1
Morgan-Rodriguez,Roger Boyd,Beneficial Owner,1
"Johnson, Roberson and Johnson",Jennifer Murphy,Beneficial Owner,1
Smith Ltd,Sarah Henry,Beneficial Owner,1
Chavez PLC,Richard Smith,Beneficial Owner,1
Rivera Ltd,Samantha Rodriguez,Beneficial Owner,1
Benson-Ali,Steven Martinez,Beneficial Owner,1
